name,opp,venue,lower,upper
Bruce Zimmermann,MIL,home,2.6370698279934857,5.319938651998942
Kyle Wright,MIL,home,5.1459456555874645,7.598893746208315
Brandon Woodruff,MIL,home,5.408347333690477,8.28495421061958
Alex Wood,MIL,home,3.9101458536411124,6.369838021775444
Garrett Whitlock,MIL,home,2.684436637140678,5.377302660245656
Zack Wheeler,MIL,home,5.6311114190624,8.117340363480759
Tyler Wells,MIL,home,2.4761011282500727,4.975703914586517
Logan Webb,MIL,home,4.780424991547661,7.2377389434893855
Spenser Watkins,MIL,home,1.291676579280789,4.138525718832701
Taijuan Walker,MIL,home,3.5956983863863288,6.203707355118854
Adam Wainwright,MIL,home,4.068782529445908,6.438363721546542
Michael Wacha,MIL,home,2.957779936164482,5.658757183646921
Justin Verlander,MIL,home,5.291283330455811,7.851497947620527
Vince Velasquez,MIL,home,2.102882727421605,4.722550034250707
Framber Valdez,MIL,home,4.9448483478088265,7.425066659088883
Jose Urquidy,MIL,home,3.429987071253456,5.993771920707819
Julio Urias,MIL,home,4.465323891207281,6.925079508874451
Zach Thompson,MIL,home,1.9845762735481092,4.505697831614756
Keegan Thompson,MIL,home,2.7521691945364957,5.067718664122906
Jameson Taillon,MIL,home,3.8349951343327335,6.329959020615715
Noah Syndergaard,MIL,home,3.295809865466425,5.99713560285628
Ranger Suarez,MIL,home,3.3014062190794515,5.756432809127835
Marcus Stroman,MIL,home,3.9064502164400565,6.944082673646543
Ross Stripling,MIL,home,1.9226907679083114,4.256139556737743
Justin Steele,MIL,home,3.729902270862291,6.066179973079653
Jeffrey Springs,MIL,home,2.862297490004715,5.195996471679282
Blake Snell,MIL,home,4.688813559303081,7.773567116587304
Drew Smyly,MIL,home,2.312454380993702,5.400092449282556
Devin Smeltzer,MIL,home,2.5774218060243266,5.597510321068609
Tarik Skubal,MIL,home,4.9494261764716185,7.429961694328908
Brady Singer,MIL,home,4.009025396715191,6.805980459017534
Luis Severino,MIL,home,5.530550605586252,8.083291482220629
Antonio Senzatela,MIL,home,1.4783605979932277,4.148486361272437
Max Scherzer,MIL,home,7.058302049313011,10.197353075776158
Patrick Sandoval,MIL,home,5.100842489348584,7.794759524398883
Joe Ryan,MIL,home,4.225344529393448,6.9317751828643175
Trevor Rogers,MIL,home,3.4547953785789467,5.889268672061737
Eduardo Rodriguez,MIL,home,3.075074689443743,6.381439212086822
Carlos Rodon,MIL,home,6.152892034104742,8.607013650142582
Robbie Ray,MIL,home,6.057989684409991,8.485311160378517
Drew Rasmussen,MIL,home,3.059439990322908,5.762770567458096
Jose Quintana,MIL,home,3.6633274145506647,6.090451942685105
Cal Quantrill,MIL,home,2.731703233708945,5.266517050595033
Zach Plesac,MIL,home,3.0874791077034685,5.628769879358832
Nick Pivetta,MIL,home,4.9398995332840565,7.379288662189285
David Peterson,MIL,home,3.976644401298304,6.61313157323979
Martin Perez,MIL,home,4.445868787272708,6.925508977608235
Freddy Peralta,MIL,home,4.980834588713653,8.266561690213965
Glenn Otto,MIL,home,2.7979364941029967,5.684674967381181
Shohei Ohtani,MIL,home,7.273816049131211,9.898907152452773
Jake Odorizzi,MIL,home,1.677817319326432,5.000605345339726
Aaron Nola,MIL,home,6.299492764870151,8.643274286547499
Joe Musgrove,MIL,home,5.394291744766622,7.950922677854316
Charlie Morton,MIL,home,5.371726837340274,7.797567508045349
Jordan Montgomery,MIL,home,3.6269295490514692,6.124661508775429
