Name,GS,ID
Cory Abbott,0,abbotco01
Albert Abreu,0,abreual01
Albert Abreu,0,abreual01
Albert Abreu,0,abreual01
Albert Abreu,0,abreual01
Bryan Abreu,0,abreubr01
Domingo Acevedo,0,acevedo01
Jason Adam,0,adamja01
Austin Adams,0,adamsau02
Joan Adon,13,adonjo01
Ehire Adrianza,0,adriaeh01
Keegan Akin*,0,akinke01
Hanser Alberto,0,alberha01
Jorge Alcala,0,alcaljo01
Sandy Alcantara,16,alcansa01
Jason Alexander,5,alexaja01
Tyler Alexander*,4,alexaty01
Kolby Allard*,0,allarko01
Cam Alldred*,0,alldrca01
Logan Allen*,0,allenlo01
Logan Allen*,0,allenlo01
Logan Allen*,0,allenlo01
Yency Almonte,0,almonye01
Jose Alvarado*,0,alvarjo03
Jose Alvarez*,0,alvarjo02
Ian Anderson,15,anderia01
Shaun Anderson,0,andersh01
Tyler Anderson*,13,anderty01
Mark Appel,0,appelma01
Victor Arano,0,aranovi01
Chris Archer,15,archech01
Shawn Armstrong,0,armstsh01
Shawn Armstrong,0,armstsh01
Shawn Armstrong,0,armstsh01
Aaron Ashby*,9,ashbyaa01
Graham Ashcraft,8,ashcrgr01
Willians Astudillo,0,astudwi01
Pedro Avila,0,avilape01
Pedro Baez,0,baezpe01
Bryan Baker,2,bakerbr01
Anthony Banda*,0,bandaan01
Anthony Banda*,0,bandaan01
Anthony Banda*,0,bandaan01
Tanner Banks*,0,banksta01
Manny Banuelos*,0,banuema01
Daniel Bard,0,bardda01
Luke Bard,0,bardlu01
Luke Barker,0,barkelu01
Joe Barlow,0,barlojo01
Scott Barlow,0,barlosc01
Jacob Barnes,0,barneja01
Matt Barnes,0,barnema01
Tucker Barnhart,0,barnhtu01
Kyle Barraclough,0,barraky01
Jaime Barria,0,barrija01
Anthony Bass,0,bassan01
Chris Bassitt,15,bassich01
Mike Baumann,0,baumami01
Félix Bautista,0,bautife01
Shane Baz,5,bazsh01
Jeremy Beasley,0,beaslje01
David Bednar,0,bednada01
Tyler Beede,0,beedety01
Tyler Beede,0,beedety01
Tyler Beede,0,beedety01
Jalen Beeks*,5,beeksja02
Andrew Bellatti,0,bellaan01
Anthony Bender,0,bendean01
Jose Berrios,16,berrijo01
Christian Bethancourt,0,bethach01
Phil Bickford,0,bickfph01
Shane Bieber,15,biebesh01
Brandon Bielak,0,bielabr01
Jake Bird,0,birdja01
Ty Blach*,1,blachty01
Paul Blackburn,16,blackpa01
Ronel Blanco,0,blancro01
Richard Bleier*,1,bleieri01
Ronald Bolanos,0,bolanro01
Ryan Borucki*,0,borucry01
Ryan Borucki*,0,borucry01
Ryan Borucki*,0,borucry01
Brad Boxberger,0,boxbebr01
Silvino Bracho,0,brachsi01
Kyle Bradish,10,bradiky01
Archie Bradley,0,bradlar01
Matt Brash,5,brashma01
Ryan Brasier,0,brasiry01
John Brebbia,2,brebbjo01
Jake Brentz*,0,brentja01
Austin Brice,0,briceau01
Beau Brieske,13,briesbe01
Connor Brogdon,0,brogdco01
Aaron Brooks,0,brookaa01
Mike Brosseau,0,brossmi01
JT Brubaker,16,brubajt01
Justin Bruihl*,0,bruihju01
Kris Bubic*,11,bubickr01
Walker Buehler,12,buehlwa01
Madison Bumgarner*,17,bumgama01
Aaron Bummer*,0,bummeaa01
Dylan Bundy,14,bundydy01
Brock Burke*,0,burkebr01
Corbin Burnes,16,burneco01
Ryan Burr,0,burrry01
Matt Bush,3,bushma01
Edward Cabrera,3,cabreed02
Genesis Cabrera*,0,cabrege01
Yennier Cano,0,canoye01
Drew Carlton,0,carltdr01
Carlos Carrasco,16,carraca01
Daniel Castano*,4,castada01
Ryan Castellani,0,castery01
Humberto Castellanos,9,castehu01
Diego Castillo,0,castidi01
Diego Castillo,0,castidi02
Luis Castillo,11,castilu02
Max Castillo,0,castima03
Anthony Castro,0,castran02
Harold Castro,0,castrha01
Kervin Castro,0,castrke01
Miguel Castro,0,castrmi01
Dylan Cease,16,ceasedy01
Luis Cessa,1,cessalu01
Jhoulys Chacin,0,chacijh01
Andrew Chafin*,0,chafian01
Aroldis Chapman*,0,chapmar01
JT Chargois,0,chargjt01
Jesse Chavez,1,chaveje01
Jesse Chavez,0,chaveje01
Jesse Chavez,1,chaveje01
Adam Cimber,0,cimbead01
Steve Cishek,0,cishest01
Aaron Civale,10,civalaa01
Taylor Clarke,0,clarkta01
Emmanuel Clase,0,claseem01
Sam Clay*,0,claysa01
Garrett Cleavinger*,0,cleavga01
Kody Clemens,0,clemeko01
Ernie Clement,0,clemeer01
Mike Clevinger,6,clevimi01
Alex Cobb,11,cobbal01
Gerrit Cole,16,colege01
Dylan Coleman,0,colemdy01
Alex Colome,0,colomal01
Roansy Contreras,8,contrro01
Patrick Corbin*,17,corbipa01
Nestor Cortes*,15,cortene01
Jharel Cotton,0,cottojh01
Danny Coulombe*,0,couloda01
Jake Cousins,0,cousija01
Kutter Crawford,2,crawfku01
Kyle Crick,0,crickky01
Nabil Crismatt,1,crismna01
Wil Crowe,1,crowewi01
Jesus Cruz,0,cruzje01
Jose Cuas,0,cuasjo01
Johnny Cueto,9,cuetojo01
Charlie Culberson,0,culbech01
Tyler Danish,0,danisty01
Yu Darvish,15,darviyu01
Tucker Davidson*,3,davidtu01
Zach Davies,15,davieza02
Austin Davis*,2,davisau01
Angel De Jesus,0,dejesan01
Chase De Jong,0,dejonch01
Enyel De Los Santos,0,delosen01
Yerry De Los Santos,0,delosye01
Anthony DeSclafani,5,desclan01
Reid Detmers*,12,detmere01
Ross Detwiler*,0,detwiro01
Alexis Diaz,0,diazal03
Edwin Díaz,0,diazed04
Jhonathan Diaz*,3,diazjh01
Phillip Diehl*,0,diehlph01
Jake Diekman*,0,diekmja01
Marcos Diplan,0,diplama01
Seranthony Dominguez,0,dominse01
Sean Doolittle*,0,doolise01
Camilo Doval,0,dovalca01
Daniel Duarte,0,duartda01
Tyler Duffey,0,duffety01
Robert Dugger,0,duggero01
Robert Dugger,0,duggero01
Robert Dugger,0,duggero01
Dane Dunning,17,dunnida01
Jhoan Duran,0,duranjh01
Carl Edwards Jr.,0,edwarca01
Scott Effross,1,effrosc01
Zach Eflin,13,eflinza01
Jerad Eickhoff,1,eickhje01
Bryce Elder,4,elderbr01
Roenis Elias*,0,eliasro01
Chris Ellis,2,ellisch01
Nathan Eovaldi,12,eovalna01
Robbie Erlin*,0,erlinro01
Paolo Espino,4,espinpa01
Anderson Espinoza,0,espinan01
Carlos Estevez,0,estevca01
Alex Faedo,11,faedoal01
Bailey Falter*,4,falteba01
Jeurys Familia,0,familje01
Buck Farmer,0,farmebu01
Calvin Faucher,0,fauchca01
Erick Fedde,16,feddeer01
Ryan Feltner,7,feltnry01
Caleb Ferguson*,0,ferguca01
Junior Fernandez,0,fernaju01
Matthew Festa,0,festama01
J.P. Feyereisen,2,feyerjo01
Kyle Finnegan,0,finneky01
Jack Flaherty,3,flaheja01
Josh Fleming*,2,flemijo01
Aaron Fletcher*,0,fletcaa01
Chris Flexen,16,flexech01
Dylan Floro,0,florody01
Jason Foley,0,foleyja01
Mike Ford,0,fordmi01
Matt Foster,0,fostema01
Bowden Francis,0,francbo01
Kyle Freeland*,16,freelky01
Luis Frias,0,friaslu01
Max Fried*,16,friedma01
Paul Fry*,0,frypa01
Paul Fry*,0,frypa01
Paul Fry*,0,frypa01
Michael Fulmer,0,fulmemi01
Matt Gage*,0,gagema01
Giovanny Gallegos,0,gallegi01
Zac Gallen,15,galleza01
Jarlin Garcia*,0,garcija04
Luis Garcia,0,garcilu03
Luis Garcia,14,garcilu05
Rico Garcia,0,garciri01
Rony Garcia,7,garciro03
Yimi Garcia,0,garciyi01
Amir Garrett*,0,garream01
Braxton Garrett*,6,garrebr01
Reed Garrett,0,garrere01
Ralph Garza,0,garzara01
Kevin Gausman,16,gausmke01
Ian Gibaut,0,gibauia01
Kyle Gibson,16,gibsoky01
Luis Gil,1,gillu01
Logan Gilbert,16,gilbelo01
Tyler Gilbert*,3,gilbety01
Lucas Gilbreath*,0,gilbrlu01
Ken Giles,0,gileske01
Logan Gillaspie,0,gillalo01
Lucas Giolito,14,giolilu01
Mychal Givens,0,givenmy01
Austin Gomber*,13,gombeau01
Tony Gonsolin,15,gonsoto01
Marco Gonzales*,16,gonzama02
Chi Chi Gonzalez,4,gonzach01
Chi Chi Gonzalez,2,gonzach01
Chi Chi Gonzalez,2,gonzach01
Luis Gonzalez*,0,gonzalu03
Nick Gordon,0,gordoni01
MacKenzie Gore*,12,gorema01
Anthony Gose*,0,gosean01
Trevor Gott,0,gotttr01
Ashton Goudeau,0,goudeas01
Brusdar Graterol,0,gratebr01
Kendall Graveman,0,graveke01
Jon Gray,14,grayjo02
Josiah Gray,15,grayjo03
Sonny Gray,11,grayso01
Chad Green,0,greench03
Hunter Greene,16,greenhu01
Shane Greene,0,greensh02
Zack Greinke,12,greinza01
Randal Grichuk,0,grichra01
Foster Griffin*,0,grifffo01
Justin Grimm,0,grimmju01
Michael Grove,1,grovemi01
Robert Gsellman,0,gsellro01
Javy Guerra,0,guerrja02
Javy Guerra,0,guerrja02
Javy Guerra,0,guerrja02
Jandel Gustave,0,gustaja01
Vladimir Gutiérrez,8,gutievl01
Josh Hader*,0,haderjo01
Jake Hager,0,hagerja01
Ian Hamilton,0,hamilia01
Brad Hand*,0,handbr01
Josh Harrison,0,harrijo05
Hunter Harvey,0,harvehu01
Thomas Hatch,1,hatchto01
Louis Head,0,headlo01
Andrew Heaney*,3,heanean01
Taylor Hearn*,13,hearnta01
Jonathan Heasley,10,heasljo01
Ryan Helsley,0,helslry01
Heath Hembree,0,hembrhe01
Kyle Hendricks,15,hendrky01
Liam Hendriks,0,hendrli01
Ryan Hendrix,0,hendrry01
Sam Hentges*,0,hentgsa01
Jimmy Herget,1,hergeji01
Carlos Hernandez,7,hernaca04
Elieser Hernandez,9,hernael01
Jordan Hicks,7,hicksjo03
Garrett Hill,1,hillga02
Rich Hill*,15,hillri01
Tim Hill*,0,hillti01
Sean Hjelle,0,hjellse01
Jeff Hoffman,0,hoffmje02
Colin Holderman,0,holdeco01
Greg Holland,0,hollagr01
Clay Holmes,0,holmecl01
Tyler Holton*,0,holtoty01
Tanner Houck,4,houckta01
Adrian Houser,15,housead01
Sam Howard*,0,howarsa01
Spencer Howard,1,howarsp01
Dakota Hudson,16,hudsoda02
Daniel Hudson,0,hudsoda01
Brandon Hughes*,0,hughebr01
Tommy Hunter,0,hunteto02
Drew Hutchison,2,hutchdr01
Raisel Iglesias,0,iglesra01
Cole Irvin*,14,irvinco01
Zach Jackson,0,jacksza02
Kenley Jansen,0,janseke01
Cristian Javier,11,javiecr01
Griffin Jax,0,jaxgr01
Daulton Jefferies,8,jeffeda01
Dany Jimenez,0,jimenda01
Joe Jimenez,0,jimenjo02
Pierce Johnson,0,johnspi01
Damon Jones*,0,jonesda07
Jakob Junis,7,junisja01
Janson Junk,0,junkja01
Tommy Kahnle,0,kahnlto01
James Kaprielian,12,kaprija01
James Karinchak,0,karinja01
Anthony Kay*,0,kayan01
Brad Keller,15,kellebr01
Mitch Keller,13,kellemi03
Trevor Kelley,0,kelletr01
Carson Kelly,0,kellyca02
Joe Kelly,0,kellyjo05
Merrill Kelly,16,kellyme01
Michael Kelly,0,kellymi03
Ian Kennedy,0,kenneia01
Ray Kerr*,0,kerrra01
Clayton Kershaw*,10,kershcl01
Dallas Keuchel*,10,keuchda01
Dallas Keuchel*,8,keuchda01
Dallas Keuchel*,2,keuchda01
Yusei Kikuchi*,15,kikucyu01
Caleb Kilian,3,kiliaca01
Craig Kimbrel,0,kimbrcr01
John King*,0,kingjo01
Michael King,0,kingmi01
Tyler Kinley,0,kinlety01
George Kirby,11,kirbyge01
Andrew Kittredge,0,kittran01
Corey Kluber,15,klubeco01
Corey Knebel,0,knebeco01
Reiss Knehr,0,knehrre01
Dusten Knight,0,knighdu01
Matt Koch,0,kochma01
Jared Koenig*,4,koenija01
Adam Kolarek*,0,kolarad01
Michael Kopech,14,kopecmi01
Jackson Kowar,0,kowarja01
Max Kranick,0,kranima01
Joey Krehbiel,0,krehbjo01
Dean Kremer,6,kremede01
Chad Kuhl,15,kuhlch01
Joel Kuhnel,0,kuhnejo01
Travis Lakins Sr.,0,lakintr01
Jimmy Lambert,2,lambeji01
Dinelson Lamet,0,lametdi01
Alex Lange,0,langeal01
Eric Lauer*,15,lauerer01
Casey Lawrence,0,lawreca01
Justin Lawrence,0,lawreju01
Jose Leclerc,0,leclejo01
Dylan Lee*,0,leedy01
Evan Lee*,1,leeev01
Mark Leiter Jr.,3,leitema02
Jacob Lemoine,0,lemoija01
Dominic Leone,0,leonedo01
Matthew Liberatore*,5,liberma01
Zack Littell,0,litteza01
Mauricio Llovera,1,llovema01
Jonathan Loaisiga,0,loaisjo01
Nick Lodolo*,3,lodolni01
Zach Logue*,5,logueza01
Sam Long*,5,longsa01
Jorge Lopez,0,lopezjo02
Pablo Lopez,16,lopezpa01
Reynaldo Lopez,1,lopezre01
Yoan López,0,lopezyo01
Michael Lorenzen,13,lorenmi01
Aaron Loup*,0,loupaa01
Zac Lowther*,0,lowthza01
Lucas Luetge*,0,luetglu01
Seth Lugo,0,lugose01
Jesus Luzardo*,6,luzarje01
